"","datetime","X","date","ph","Station","TideHeight"
"803",2017-01-17 17:00:00,400,"2017-01-17",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.21532694212952
"819",2017-01-18 01:00:00,408,"2017-01-18",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.02954856807994
"821",2017-01-18 02:00:00,409,"2017-01-18",7.45,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.34085788686619
"823",2017-01-18 03:00:00,410,"2017-01-18",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.59643321080228
"825",2017-01-18 04:00:00,411,"2017-01-18",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73503453727847
"829",2017-01-18 06:00:00,413,"2017-01-18",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53999834455563
"831",2017-01-18 07:00:00,414,"2017-01-18",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.26296296969077
"845",2017-01-18 14:00:00,421,"2017-01-18",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12838621012808
"847",2017-01-18 15:00:00,422,"2017-01-18",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.27416176312912
"849",2017-01-18 16:00:00,423,"2017-01-18",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.3371753186059
"851",2017-01-18 17:00:00,424,"2017-01-18",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.28892749408792
"869",2017-01-19 02:00:00,433,"2017-01-19",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.17423347322921
"921",2017-01-20 04:00:00,459,"2017-01-20",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.5303882903979
"923",2017-01-20 05:00:00,460,"2017-01-20",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.69887343996488
"925",2017-01-20 06:00:00,461,"2017-01-20",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.74979807964863
"927",2017-01-20 07:00:00,462,"2017-01-20",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.65762521311954
"975",2017-01-21 07:00:00,486,"2017-01-21",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.7584376099022
"977",2017-01-21 08:00:00,487,"2017-01-21",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.62867375242246
"979",2017-01-21 09:00:00,488,"2017-01-21",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.36865806869638
"1001",2017-01-21 20:00:00,499,"2017-01-21",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.22962174364035
"1003",2017-01-21 21:00:00,500,"2017-01-21",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.21953320061711
"1005",2017-01-21 22:00:00,501,"2017-01-21",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.1220957096767
"1047",2017-01-22 19:00:00,522,"2017-01-22",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.00898095828083
"1069",2017-01-23 06:00:00,533,"2017-01-23",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56264102867361
"1071",2017-01-23 07:00:00,534,"2017-01-23",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.75434146960541
"1075",2017-01-23 09:00:00,536,"2017-01-23",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.76761220525686
"1077",2017-01-23 10:00:00,537,"2017-01-23",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.52902458490473
"1079",2017-01-23 11:00:00,538,"2017-01-23",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.1627755556138
"1097",2017-01-23 20:00:00,547,"2017-01-23",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.08859766702535
"1099",2017-01-23 21:00:00,548,"2017-01-23",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.29442973306008
"1101",2017-01-23 22:00:00,549,"2017-01-23",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.38937689198723
"1115",2017-01-24 05:00:00,556,"2017-01-24",7.65,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.17119881701052
"1117",2017-01-24 06:00:00,557,"2017-01-24",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.41459637751462
"1147",2017-01-24 21:00:00,572,"2017-01-24",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.20697621578164
"1195",2017-01-25 21:00:00,596,"2017-01-25",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.06813270743822
"1197",2017-01-25 22:00:00,597,"2017-01-25",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.34113923981785
"1219",2017-01-26 09:00:00,608,"2017-01-26",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.85190149985583
"1221",2017-01-26 10:00:00,609,"2017-01-26",7.75,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.96195315091529
"1223",2017-01-26 11:00:00,610,"2017-01-26",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.87871887698311
"1225",2017-01-26 12:00:00,611,"2017-01-26",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.58076386642308
"1227",2017-01-26 13:00:00,612,"2017-01-26",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12023544355247
"1245",2017-01-26 22:00:00,621,"2017-01-26",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2306566555161
"1247",2017-01-26 23:00:00,622,"2017-01-26",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.46801914670455
"1249",2017-01-27 00:00:00,623,"2017-01-27",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.55126944797516
"1251",2017-01-27 01:00:00,624,"2017-01-27",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.46655903872096
"1271",2017-01-27 11:00:00,634,"2017-01-27",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.97343421798977
"1273",2017-01-27 12:00:00,635,"2017-01-27",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.80889073468471
"1275",2017-01-27 13:00:00,636,"2017-01-27",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42960534881478
"1293",2017-01-27 22:00:00,645,"2017-01-27",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.08434244729339
"1295",2017-01-27 23:00:00,646,"2017-01-27",7.65,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.39186551170977
"1297",2017-01-28 00:00:00,647,"2017-01-28",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56916887646567
"1299",2017-01-28 01:00:00,648,"2017-01-28",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56971895127558
"1319",2017-01-28 11:00:00,658,"2017-01-28",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.94919999504886
"1321",2017-01-28 12:00:00,659,"2017-01-28",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.93273299922426
"1323",2017-01-28 13:00:00,660,"2017-01-28",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.68907513032705
"1325",2017-01-28 14:00:00,661,"2017-01-28",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.24632930542286
"1343",2017-01-28 23:00:00,670,"2017-01-28",7.65,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.27211924916244
"1345",2017-01-29 00:00:00,671,"2017-01-29",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53365116241965
"1369",2017-01-29 12:00:00,683,"2017-01-29",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.92205901192552
"1371",2017-01-29 13:00:00,684,"2017-01-29",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.83868536528149
"1375",2017-01-29 15:00:00,686,"2017-01-29",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.05609099704233
"1391",2017-01-29 23:00:00,694,"2017-01-29",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12126649183664
"1393",2017-01-30 00:00:00,695,"2017-01-30",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.44547549224352
"1399",2017-01-30 03:00:00,698,"2017-01-30",7.75,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.49515922906024
"1401",2017-01-30 04:00:00,699,"2017-01-30",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.21502583406462
"1413",2017-01-30 10:00:00,705,"2017-01-30",7.65,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.31418572794738
"1415",2017-01-30 11:00:00,706,"2017-01-30",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.5763042634711
"1417",2017-01-30 12:00:00,707,"2017-01-30",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.77587166832962
"1419",2017-01-30 13:00:00,708,"2017-01-30",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.83866429837158
"1421",2017-01-30 14:00:00,709,"2017-01-30",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.70339902898228
"1423",2017-01-30 15:00:00,710,"2017-01-30",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.36333131858753
"1441",2017-01-31 00:00:00,719,"2017-01-31",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.3132829975886
"1443",2017-01-31 01:00:00,720,"2017-01-31",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.59150964451803
"1447",2017-01-31 03:00:00,722,"2017-01-31",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.65797765579416
"1449",2017-01-31 04:00:00,723,"2017-01-31",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42657535137632
"1451",2017-01-31 05:00:00,724,"2017-01-31",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.11286863069239
"1461",2017-01-31 10:00:00,729,"2017-01-31",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.03029185623194
"1463",2017-01-31 11:00:00,730,"2017-01-31",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.28198649799958
"1465",2017-01-31 12:00:00,731,"2017-01-31",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.51942481443484
"1467",2017-01-31 13:00:00,732,"2017-01-31",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.68447990650491
"1469",2017-01-31 14:00:00,733,"2017-01-31",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.71069785674663
"1471",2017-01-31 15:00:00,734,"2017-01-31",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.55058014765562
"1473",2017-01-31 16:00:00,735,"2017-01-31",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.21303896347218
"1489",2017-02-01 00:00:00,743,"2017-02-01",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.15250163978059
"1491",2017-02-01 01:00:00,744,"2017-02-01",7.65,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.47933866819495
"1493",2017-02-01 02:00:00,745,"2017-02-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.70450859958975
"1495",2017-02-01 03:00:00,746,"2017-02-01",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.76575925984563
"1497",2017-02-01 04:00:00,747,"2017-02-01",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.63752880379116
"1499",2017-02-01 05:00:00,748,"2017-02-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.35811712150971
"1501",2017-02-01 06:00:00,749,"2017-02-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.02367020300712
"1513",2017-02-01 12:00:00,755,"2017-02-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.19185284811254
"1515",2017-02-01 13:00:00,756,"2017-02-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.40544307375754
"1517",2017-02-01 14:00:00,757,"2017-02-01",7.75,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.54769434605242
"1519",2017-02-01 15:00:00,758,"2017-02-01",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56131326225833
"1521",2017-02-01 16:00:00,759,"2017-02-01",7.75,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.41000261510034
"1523",2017-02-01 17:00:00,760,"2017-02-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.11022430571134
"1539",2017-02-02 01:00:00,768,"2017-02-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.32240088363824
"1541",2017-02-02 02:00:00,769,"2017-02-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.61181003525758
"1543",2017-02-02 03:00:00,770,"2017-02-02",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.78665661065614
"1545",2017-02-02 04:00:00,771,"2017-02-02",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.79245699951211
