"","X","site.old","site.code","site","quad","month","day","year","date","survey.season","survey.month","tran.loc.m","cover","no.fuc.q","no.large.fuc.q","no.small.fuc.q","fuc.ht","covcl.repro","ww.veg","ww.repro","ww.recp","dw.veg","dw.repro","dw.recp","apices.repro","apices.veg","no.concept.recp","oog.conc.1","oog.conc.2","oog.conc.3","groove","notes","perc.ra","avg.oog","perc.rdw"
"15",15,"HS","HSB","Horseshoe Bay",3,7,16,2018,"7/16/2018","Summer 2018","18-Jul",6,11,16,2,14,NA,1,1.457,0,NA,0.43,0,NA,0,14,NA,NA,NA,NA,NA,"",0,NA,0
"16",16,"ND","PTC","Point Chauncey",1,7,17,2018,"7/17/2018","Summer 2018","18-Jul",1,18,29,7,22,NA,1,24.611,22.436,NA,6.808,3.185,NA,62,93,NA,NA,NA,NA,NA,"",40,NA,31.8723106174322
"17",17,"ND","PTC","Point Chauncey",5,7,17,2018,"7/17/2018","Summer 2018","18-Jul",7,10,11,4,7,NA,1,10.127,6.264,NA,3.372,1.172,NA,55,78,NA,NA,NA,NA,NA,"",41.3533834586466,NA,25.7922535211268
"18",18,"ND","PTC","Point Chauncey",9,7,17,2018,"7/17/2018","Summer 2018","18-Jul",13,18,31,10,21,NA,1,11.197,17.223,1.414,4.277,2.591,0.17,55,44,252,58,46,38,"Y","",55.5555555555556,47.3333333333333,37.7256843331392
"19",19,"ND","PTC","Point Chauncey",10,7,17,2018,"7/17/2018","Summer 2018","18-Jul",14,31,132,2,130,NA,1,4.16,1.704,NA,1.367,0.288,NA,9,29,NA,NA,NA,NA,NA,"",23.6842105263158,NA,17.4018126888217
"20",20,"PC","PCY","Paradise Cay",3,7,17,2018,"7/17/2018","Summer 2018","18-Jul",4,6,10,0,10,NA,1,1.892,0,NA,0.561,0,NA,0,13,NA,NA,NA,NA,NA,"",0,NA,0
"21",21,"PC","PCY","Paradise Cay",4,7,17,2018,"7/17/2018","Summer 2018","18-Jul",6,34,19,4,15,NA,1,0.48,0,NA,0.153,0,NA,0,7,NA,NA,NA,NA,NA,"",0,NA,0
"22",22,"PC","PCY","Paradise Cay",5,7,17,2018,"7/17/2018","Summer 2018","18-Jul",8,27,114,1,113,NA,1,1.122,0,NA,0.344,0,NA,0,10,NA,NA,NA,NA,NA,"",0,NA,0
"23",23,"PC","PCY","Paradise Cay",6,7,17,2018,"7/17/2018","Summer 2018","18-Jul",9,18,22,0,22,NA,1,3.099,0,NA,0.976,0,NA,0,20,NA,NA,NA,NA,NA,"",0,NA,0
"24",24,"PC","PCY","Paradise Cay",7,7,17,2018,"7/17/2018","Summer 2018","18-Jul",11,29,122,4,118,NA,1,5.345,2.857,0.327,1.691,0.214,0.064,6,29,196,0,0,0,"N","",17.1428571428571,0,11.2335958005249
"25",25,"PC","PCY","Paradise Cay",8,7,17,2018,"7/17/2018","Summer 2018","18-Jul",12,52,350,0,350,NA,1,4.562,0,NA,1.362,0,NA,0,22,NA,NA,NA,NA,NA,"estimate small fucus = 300-400",0,NA,0
"26",26,"PC","PCY","Paradise Cay",9,7,17,2018,"7/17/2018","Summer 2018","18-Jul",13,69,209,9,200,NA,1,1.299,0,NA,0.387,0,NA,0,8,NA,NA,NA,NA,NA,"estimate small fucus = 200+",0,NA,0
"27",27,"BY","BYP","Brickyard Park",8,8,6,2018,"8/6/2018","Summer 2018","18-Aug",11,4,4,0,4,NA,1,0.59,0,NA,0.225,0,NA,0,11,NA,NA,NA,NA,NA,"",0,NA,0
"28",28,"HS","HSB","Horseshoe Bay",4,8,6,2018,"8/6/2018","Summer 2018","18-Aug",8,7,8,1,7,NA,1,1.849,0,NA,1.01,0,NA,0,9,NA,NA,NA,NA,NA,"",0,NA,0
"29",29,"HS","HSB","Horseshoe Bay",7,8,6,2018,"8/6/2018","Summer 2018","18-Aug",12,8,11,1,10,NA,1,1.841,0,NA,2.31,0,NA,0,8,NA,NA,NA,NA,NA,"",0,NA,0
"30",30,"ND","PTC","Point Chauncey",9,8,7,2018,"8/7/2018","Summer 2018","18-Aug",12,22,33,9,24,NA,1,7.724,3.815,NA,2.112,0.524,NA,14,30,NA,NA,NA,NA,NA,"",31.8181818181818,NA,19.8786039453718
"31",31,"ND","PTC","Point Chauncey",10,8,7,2018,"8/7/2018","Summer 2018","18-Aug",14,8,5,0,5,NA,1,0.645,0,NA,0.166,0,NA,0,6,NA,NA,NA,NA,NA,"",0,NA,0
"32",32,"PC","PCY","Paradise Cay",1,8,7,2018,"8/7/2018","Summer 2018","18-Aug",1,34,107,14,93,NA,1,7.508,1.283,1.036,1.71,0.18,0.147,3,26,148,32,24,14,"N","",10.3448275862069,23.3333333333333,9.52380952380952
"33",33,"PC","PCY","Paradise Cay",2,8,7,2018,"8/7/2018","Summer 2018","18-Aug",3,26,80,12,68,NA,1,6.979,0.397,0.397,1.734,0.081,0.081,2,24,32,0,0,0,NA,"",7.69230769230769,0,4.46280991735537
"34",34,"PC","PCY","Paradise Cay",3,8,7,2018,"8/7/2018","Summer 2018","18-Aug",5,81,157,26,131,NA,1,19.985,13.528,NA,4.755,1.819,NA,35,44,NA,NA,NA,NA,NA,"",44.3037974683544,NA,27.6696075448737
"35",35,"PC","PCY","Paradise Cay",4,8,7,2018,"8/7/2018","Summer 2018","18-Aug",7,41,169,9,160,NA,1,4.898,0,NA,1.252,0,NA,0,16,NA,NA,NA,NA,NA,"",0,NA,0
"36",36,"PC","PCY","Paradise Cay",5,8,7,2018,"8/7/2018","Summer 2018","18-Aug",8,49,238,15,223,NA,1,11.731,2.864,NA,2.913,0.441,NA,6,36,NA,NA,NA,NA,NA,"",14.2857142857143,NA,13.1484794275492
"37",37,"PC","PCY","Paradise Cay",6,8,7,2018,"8/7/2018","Summer 2018","18-Aug",9,32,56,4,52,NA,1,10.54,2.283,0.599,2.564,0.454,0.085,13,33,146,0,0,0,NA,"",28.2608695652174,0,15.0430748840292
"38",38,"PC","PCY","Paradise Cay",7,8,7,2018,"8/7/2018","Summer 2018","18-Aug",10,35,129,2,127,NA,1,2.362,0,NA,0.583,0,NA,0,16,NA,NA,NA,NA,NA,"",0,NA,0
"39",39,"PC","PCY","Paradise Cay",8,8,7,2018,"8/7/2018","Summer 2018","18-Aug",11,80,247,30,217,NA,1,3.973,0,NA,1.048,0,NA,0,19,NA,NA,NA,NA,NA,"",0,NA,0
"40",40,"PC","PCY","Paradise Cay",9,8,7,2018,"8/7/2018","Summer 2018","18-Aug",12,94,360,35,325,NA,1,15.851,7.532,NA,3.654,1.017,NA,19,48,NA,NA,NA,NA,NA,"",28.3582089552239,NA,21.7726396917148
"41",41,"PC","PCY","Paradise Cay",10,8,7,2018,"8/7/2018","Summer 2018","18-Aug",13,62,92,7,85,NA,1,5.584,0,NA,1.541,0,NA,0,27,NA,NA,NA,NA,NA,"",0,NA,0
"42",42,"BY","BYP","Brickyard Park",1,9,10,2018,"9/10/2018","Summer 2018","18-Sep",0,36,79,0,79,NA,1,3.46,0,NA,0.719,0,NA,0,21,NA,NA,NA,NA,NA,"Fucus seem more bushy/shruby. Sporeling thalli are dense",0,NA,0
"43",43,"BY","BYP","Brickyard Park",2,9,10,2018,"9/10/2018","Summer 2018","18-Sep",2,84,127,22,105,NA,1,52.744,4.393,1.306,11.72,0.773,0.174,17,172,204,16,17,0,"N","",8.99470899470899,11,6.18746498038902
"44",44,"BY","BYP","Brickyard Park",3,9,10,2018,"9/10/2018","Summer 2018","18-Sep",3,54,245,0,245,NA,1,12.516,0,NA,2.63,0,NA,0,67,NA,NA,NA,NA,NA,"",0,NA,0
"45",45,"BY","BYP","Brickyard Park",5,9,10,2018,"9/10/2018","Summer 2018","18-Sep",10,7,6,0,6,NA,1,10.769,0,NA,2.267,0,NA,0,59,NA,NA,NA,NA,NA,"",0,NA,0
"46",46,"BY","BYP","Brickyard Park",6,9,10,2018,"9/10/2018","Summer 2018","18-Sep",11,43,137,2,135,NA,1,12.108,3.404,NA,2.662,0.587,NA,16,52,NA,NA,NA,NA,NA,"",23.5294117647059,NA,18.0670975684826
"47",47,"BY","BYP","Brickyard Park",7,9,10,2018,"9/10/2018","Summer 2018","18-Sep",12,34,137,2,135,NA,1,12.528,0,NA,2.514,0,NA,0,54,NA,NA,NA,NA,NA,"",0,NA,0
"48",48,"BY","BYP","Brickyard Park",8,9,10,2018,"9/10/2018","Summer 2018","18-Sep",13,92,166,3,163,NA,1,8.37,0,NA,1.683,0,NA,0,53,NA,NA,NA,NA,NA,"",0,NA,0
"49",49,"BY","BYP","Brickyard Park",9,9,10,2018,"9/10/2018","Summer 2018","18-Sep",14,73,58,8,50,NA,1,30.666,11.6,1.087,6.981,1.728,0.149,25,79,214,37,5,16,"N","",24.0384615384615,19.3333333333333,19.8415432311402
"50",50,"BY","BYP","Brickyard Park",10,9,10,2018,"9/10/2018","Summer 2018","18-Sep",15,31,42,2,40,NA,1,33.838,0.402,0.123,7.328,NA,NA,5,34,120,0,8,2,"N","",12.8205128205128,3.33333333333333,NA
"51",51,"HS","HSB","Horseshoe Bay",1,9,10,2018,"9/10/2018","Summer 2018","18-Sep",2,3,4,0,4,NA,1,0.548,0,NA,0.17,0,NA,0,3,NA,NA,NA,NA,NA,"More ulva at site, fucus band seems longer and wider",0,NA,0
"52",52,"HS","HSB","Horseshoe Bay",2,9,10,2018,"9/10/2018","Summer 2018","18-Sep",3,23,9,1,8,NA,1,3.942,0,NA,0.959,0,NA,0,16,NA,NA,NA,NA,NA,"",0,NA,0
"53",53,"HS","HSB","Horseshoe Bay",3,9,10,2018,"9/10/2018","Summer 2018","18-Sep",5,14,4,1,3,NA,1,0.679,0,NA,0.149,0,NA,0,7,NA,NA,NA,NA,NA,"",0,NA,0
"54",54,"HS","HSB","Horseshoe Bay",5,9,10,2018,"9/10/2018","Summer 2018","18-Sep",8,14,15,0,15,NA,1,2.637,0,NA,0.555,0,NA,0,12,NA,NA,NA,NA,NA,"",0,NA,0
"55",55,"HS","HSB","Horseshoe Bay",7,9,10,2018,"9/10/2018","Summer 2018","18-Sep",10,33,16,4,12,NA,1,10.105,0.834,NA,2.372,0.154,NA,4,29,NA,NA,NA,NA,NA,"",12.1212121212121,NA,6.0965954077593
"56",56,"HS","HSB","Horseshoe Bay",8,9,10,2018,"9/10/2018","Summer 2018","18-Sep",13,15,11,6,5,NA,1,15.852,36.815,0.723,4.478,NA,0.116,89,58,336,24,24,53,"Y","",60.5442176870748,33.6666666666667,NA
"57",57,"ND","PTC","Point Chauncey",3,9,11,2018,"9/11/2018","Summer 2018","18-Sep",6,25,24,2,22,NA,1,2.645,0,NA,0.64,0,NA,0,8,NA,NA,NA,NA,NA,"",0,NA,0
"58",58,"ND","PTC","Point Chauncey",5,9,11,2018,"9/11/2018","Summer 2018","18-Sep",8,16,24,0,24,NA,1,3.159,0,NA,0.765,0,NA,0,28,NA,NA,NA,NA,NA,"",0,NA,0
"59",59,"ND","PTC","Point Chauncey",8,9,11,2018,"9/11/2018","Summer 2018","18-Sep",13,8,3,0,3,NA,1,2.341,0.314,NA,0.634,0.051,NA,2,15,NA,NA,NA,NA,NA,"",11.7647058823529,NA,7.44525547445255
"60",60,"PC","PCY","Paradise Cay",2,9,11,2018,"9/11/2018","Summer 2018","18-Sep",3,34,115,0,115,NA,1,6.613,0.098,NA,1.487,0.014,NA,1,26,NA,NA,NA,NA,NA,"",3.7037037037037,NA,0.932711525649567
"61",61,"PC","PCY","Paradise Cay",3,9,11,2018,"9/11/2018","Summer 2018","18-Sep",4,44,118,0,118,NA,1,10.156,1.11,0.37,2.154,0.157,0.053,5,25,100,0,0,0,NA,"",16.6666666666667,0,6.79359584595413
"62",62,"PC","PCY","Paradise Cay",4,9,11,2018,"9/11/2018","Summer 2018","18-Sep",5,43,48,0,48,NA,1,6.945,0.351,NA,1.434,0.047,NA,2,32,NA,NA,NA,NA,NA,"",5.88235294117647,NA,3.17353139770425
"63",63,"PC","PCY","Paradise Cay",5,9,11,2018,"9/11/2018","Summer 2018","18-Sep",7,61,127,0,127,NA,1,10.862,3.437,0.756,2.454,0.476,0.11,11,36,410,7,10,1,"N","",23.4042553191489,6,16.2457337883959
"64",64,"PC","PCY","Paradise Cay",6,9,11,2018,"9/11/2018","Summer 2018","18-Sep",8,27,73,1,72,NA,1,1.301,0,NA,0.268,0,NA,0,8,NA,NA,NA,NA,NA,"",0,NA,0
"65",65,"PC","PCY","Paradise Cay",7,9,11,2018,"9/11/2018","Summer 2018","18-Sep",10,51,60,0,60,NA,1,14.982,3.911,NA,3.278,0.499,NA,8,42,NA,NA,NA,NA,NA,"",16,NA,13.2115435530845
"66",66,"PC","PCY","Paradise Cay",8,9,11,2018,"9/11/2018","Summer 2018","18-Sep",11,63,208,0,208,NA,1,76.398,13.443,NA,17.268,1.926,NA,45,227,NA,NA,NA,NA,NA,"",16.5441176470588,NA,10.0343857455455
"67",67,"PC","PCY","Paradise Cay",10,9,11,2018,"9/11/2018","Summer 2018","18-Sep",13,76,117,0,117,NA,1,NA,1.52,NA,0.696,0.193,NA,8,9,NA,NA,NA,NA,NA,"",47.0588235294118,NA,21.7097862767154
"68",68,"BY","BYP","Brickyard Park",1,10,9,2018,"10/9/2018","Fall 2018","18-Oct",1,73,105,2,103,22,1,62.161,28.362,0.659,14.403,4.274,0.112,139,250,344,12,81,18,"N","saw a speckled isopod",35.73264781491,37,22.8837607752851
"69",69,"BY","BYP","Brickyard Park",2,10,9,2018,"10/9/2018","Fall 2018","18-Oct",3,59,137,2,135,23.2,1,62.67,18.759,0.44,14.013,2.654,0.059,81,176,264,32,17,21,"N","",31.5175097276265,23.3333333333333,15.9236815263695
"70",70,"BY","BYP","Brickyard Park",3,10,9,2018,"10/9/2018","Fall 2018","18-Oct",4,73,41,17,24,18.5,1,17.28,13.757,NA,3.987,2.06,NA,51,126,NA,NA,NA,NA,NA,"",28.8135593220339,NA,34.0664792459071
"71",71,"BY","BYP","Brickyard Park",4,10,9,2018,"10/9/2018","Fall 2018","18-Oct",6,57,39,16,23,15.4,1,31.577,9.815,NA,7.347,1.402,NA,60,201,NA,NA,NA,NA,NA,"",22.9885057471264,NA,16.0246885358327
"72",72,"BY","BYP","Brickyard Park",5,10,9,2018,"10/9/2018","Fall 2018","18-Oct",7,10,8,1,7,24.2,1,44.289,30.648,NA,10.927,4.939,NA,116,157,NA,NA,NA,NA,NA,"",42.4908424908425,NA,31.1294592209757
"73",73,"BY","BYP","Brickyard Park",6,10,9,2018,"10/9/2018","Fall 2018","18-Oct",9,27,25,2,23,18.8,1,21.101,11.323,NA,4.744,1.581,NA,45,86,NA,NA,NA,NA,NA,"",34.3511450381679,NA,24.99604743083
"74",74,"BY","BYP","Brickyard Park",8,10,9,2018,"10/9/2018","Fall 2018","18-Oct",11,6,5,0,5,15.6,1,17.942,0,NA,3.98,0,NA,0,83,NA,NA,NA,NA,NA,"",0,NA,0
"75",75,"BY","BYP","Brickyard Park",9,10,9,2018,"10/9/2018","Fall 2018","18-Oct",13,34,27,1,26,20.7,1,12.924,6.856,0.878,2.935,1.741,0.054,20,48,266,6,5,17,"N","",29.4117647058824,9.33333333333333,37.2326775021386
"76",76,"HS","HSB","Horseshoe Bay",1,10,9,2018,"10/9/2018","Fall 2018","18-Oct",2,45,18,3,15,18.6,1,8.923,7.431,0.499,2.413,1.282,0.084,17,37,422,15,8,22,"N","",31.4814814814815,15,34.6955345060893
"77",77,"HS","HSB","Horseshoe Bay",2,10,9,2018,"10/9/2018","Fall 2018","18-Oct",4,3,2,0,2,17.6,1,6.283,0.67,NA,1.62,0.105,NA,4,23,NA,NA,NA,NA,NA,"",14.8148148148148,NA,6.08695652173913
"78",78,"HS","HSB","Horseshoe Bay",3,10,9,2018,"10/9/2018","Fall 2018","18-Oct",5,12,3,1,2,16.8,1,8.223,6.77,NA,2.232,2.232,NA,10,10,NA,NA,NA,NA,NA,"",50,NA,50
"79",79,"HS","HSB","Horseshoe Bay",4,10,9,2018,"10/9/2018","Fall 2018","18-Oct",7,3,1,0,1,18.8,1,1.591,0.609,0.609,0.414,0.109,0.109,2,12,376,18,40,6,"N","",14.2857142857143,21.3333333333333,20.8413001912046
"80",80,"HS","HSB","Horseshoe Bay",5,10,9,2018,"10/9/2018","Fall 2018","18-Oct",8,14,9,0,9,28.3,1,5.723,4.174,NA,1.583,0.75,NA,15,5,NA,NA,NA,NA,NA,"",75,NA,32.1474496356622
"81",81,"ND","PTC","Point Chauncey",2,10,10,2018,"10/10/2018","Fall 2018","18-Oct",4,52,33,4,29,24.1,1,29.028,46.469,1.143,7.957,6.51,0.166,155,104,276,53,69,101,NA,"",59.8455598455598,74.3333333333333,44.9989631575309
"82",82,"ND","PTC","Point Chauncey",3,10,10,2018,"10/10/2018","Fall 2018","18-Oct",6,24,26,3,23,20.4,1,14.912,13.217,NA,3.258,1.741,NA,39,20,NA,NA,NA,NA,NA,"",66.1016949152542,NA,34.8269653930786
"83",83,"ND","PTC","Point Chauncey",4,10,10,2018,"10/10/2018","Fall 2018","18-Oct",8,4,4,0,4,10.1,1,2.96,0.71,0.189,0.79,0.098,0.032,4,14,176,0,0,0,NA,"",22.2222222222222,0,11.036036036036
"84",84,"ND","PTC","Point Chauncey",6,10,10,2018,"10/10/2018","Fall 2018","18-Oct",10,12,1,0,1,9,1,2.763,1.156,NA,0.671,0.671,NA,9,20,NA,NA,NA,NA,NA,"",31.0344827586207,NA,50
"85",85,"ND","PTC","Point Chauncey",7,10,10,2018,"10/10/2018","Fall 2018","18-Oct",11,68,74,3,71,17,1,4.299,9.819,NA,1.05,1.405,NA,23,8,NA,NA,NA,NA,NA,"",74.1935483870968,NA,57.2301425661914
"86",86,"ND","PTC","Point Chauncey",9,10,10,2018,"10/10/2018","Fall 2018","18-Oct",14,0,0,0,0,22,1,24.564,19.999,NA,3.017,6.15,NA,81,118,NA,NA,NA,NA,NA,"",40.7035175879397,NA,67.0884695101996
"87",87,"ND","PTC","Point Chauncey",10,10,10,2018,"10/10/2018","Fall 2018","18-Oct",15,53,91,4,87,19,1,10.455,17.854,NA,2.681,2.65,NA,35,12,NA,NA,NA,NA,NA,"",74.468085106383,NA,49.7092477959107
"88",88,"BY","BYP","Brickyard Park",1,11,6,2018,"11/6/2018","Fall 2018","18-Nov",2,81,36,16,20,22,1,16.364,23.61,NA,4.334,3.136,NA,67,64,NA,NA,NA,NA,NA,"",51.1450381679389,NA,41.9812583668005
"89",89,"BY","BYP","Brickyard Park",10,11,6,2018,"11/6/2018","Fall 2018","18-Nov",15,48,31,14,17,22.1,1,75.628,43.735,NA,18.882,7.684,NA,165,240,NA,NA,NA,NA,NA,"",40.7407407407407,NA,28.9241888127682
"90",90,"HS","HSB","Horseshoe Bay",2,11,6,2018,"11/6/2018","Fall 2018","18-Nov",3,23,13,2,11,17.6,1,34.62,15.108,NA,9.669,2.594,NA,47,93,NA,NA,NA,NA,NA,"",33.5714285714286,NA,21.153062056593
"91",91,"HS","HSB","Horseshoe Bay",6,11,6,2018,"11/6/2018","Fall 2018","18-Nov",11,11,6,0,6,13.4,1,10.031,4.125,0.481,2.467,0.745,0.093,23,34,396,4,15,11,"N","",40.3508771929825,10,23.1942714819427
"92",92,"HS","HSB","Horseshoe Bay",7,11,6,2018,"11/6/2018","Fall 2018","18-Nov",12,5,3,0,3,7.8,1,4.502,0,NA,1.198,0,NA,0,20,NA,NA,NA,NA,NA,"",0,NA,0
"93",93,"BY","BYP","Brickyard Park",1,12,4,2018,"12/4/2018","Fall 2018","18-Dec",1,51,48,9,39,16,1,17.354,4.377,NA,4.167,0.585,NA,21,72,372,73,17,64,"N","",22.5806451612903,51.3333333333333,12.3106060606061
"94",94,"BY","BYP","Brickyard Park",2,12,4,2018,"12/4/2018","Fall 2018","18-Dec",2,88,23,9,14,20,1,9.314,2.805,0.424,2.264,0.404,0.068,14,32,NA,NA,NA,NA,NA,"",30.4347826086957,NA,15.1424287856072
"95",95,"BY","BYP","Brickyard Park",4,12,4,2018,"12/4/2018","Fall 2018","18-Dec",4,73,19,7,12,8.7,1,10.841,0,NA,0.556,0,NA,0,26,NA,NA,NA,NA,NA,"",0,NA,0
"96",96,"BY","BYP","Brickyard Park",7,12,4,2018,"12/4/2018","Fall 2018","18-Dec",8,49,21,4,17,16.1,1,15.408,5.555,NA,3.551,0.695,NA,26,66,NA,NA,NA,NA,NA,"",28.2608695652174,NA,16.3683466792275
"97",97,"HS","HSB","Horseshoe Bay",1,12,4,2018,"12/4/2018","Fall 2018","18-Dec",2,5,2,0,2,9.5,1,3.46,0.804,0.176,0.974,0.197,0.037,9,32,276,21,15,5,"N","",21.9512195121951,13.6666666666667,16.8232280102477
"98",98,"HS","HSB","Horseshoe Bay",2,12,4,2018,"12/4/2018","Fall 2018","18-Dec",5,1,1,0,1,2.5,1,0.321,0,NA,0.137,0,NA,0,12,NA,NA,NA,NA,NA,"",0,NA,0
"99",99,"HS","HSB","Horseshoe Bay",3,12,4,2018,"12/4/2018","Fall 2018","18-Dec",6,3,2,0,2,16.9,1,11.229,0,NA,3.215,0,NA,0,27,NA,NA,NA,NA,NA,"",0,NA,0
"100",100,"HS","HSB","Horseshoe Bay",4,12,4,2018,"12/4/2018","Fall 2018","18-Dec",7,1,1,1,0,11,1,2.15,0.548,NA,0.704,0.133,NA,2,13,NA,NA,NA,NA,NA,"",13.3333333333333,NA,15.8900836320191
"101",101,"HS","HSB","Horseshoe Bay",5,12,4,2018,"12/4/2018","Fall 2018","18-Dec",9,3,3,0,3,11.1,1,1.91,1.313,0.33,0.496,0.27,0.071,3,7,322,53,6,26,"Y","",30,28.3333333333333,35.2480417754569
"102",102,"ND","PTC","Point Chauncey",5,12,5,2018,"12/5/2018","Fall 2018","18-Dec",7,1,0,0,0,16.4,1,5.106,9.54,0.901,1.211,1.072,0.113,23,24,242,21,70,68,"N","",48.936170212766,53,46.9557599649584
"103",103,"ND","PTC","Point Chauncey",8,12,5,2018,"12/5/2018","Fall 2018","18-Dec",11,50,34,6,28,11,1,2.338,1.067,NA,0.478,0.126,NA,2,10,NA,NA,NA,NA,NA,"",16.6666666666667,NA,20.8609271523179
"104",104,"ND","PTC","Point Chauncey",10,12,5,2018,"12/5/2018","Fall 2018","18-Dec",14,13,9,0,9,10.4,1,1.802,0,NA,0.392,0,NA,0,14,NA,NA,NA,NA,NA,"",0,NA,0
"105",105,"BY","BYP","Brickyard Park",1,1,31,2019,"1/31/2019","Winter 2019","19-Jan",2,60,21,6,15,15,1,10.126,0,NA,2.191,0,NA,0,58,NA,NA,NA,NA,NA,"",0,NA,0
"106",106,"BY","BYP","Brickyard Park",3,1,31,2019,"1/31/2019","Winter 2019","19-Jan",5,40,19,5,14,0,1,13.253,0,NA,2.899,0,NA,0,75,NA,NA,NA,NA,NA,"",0,NA,0
"107",107,"BY","BYP","Brickyard Park",4,1,31,2019,"1/31/2019","Winter 2019","19-Jan",6,35,14,2,12,0,1,27.981,4.385,0.26,5.699,0.429,0.032,13,101,99,42,13,10,NA,"",11.4035087719298,21.6666666666667,7.00065274151436
"108",108,"BY","BYP","Brickyard Park",5,1,31,2019,"1/31/2019","Winter 2019","19-Jan",7,14,10,0,10,8,1,2.161,0,NA,0.452,0,NA,0,17,NA,NA,NA,NA,NA,"",0,NA,0
"109",109,"HS","HSB","Horseshoe Bay",2,1,31,2019,"1/31/2019","Winter 2019","19-Jan",2,18,10,0,10,10.2,1,4.458,0.784,NA,1.361,0.181,NA,7,41,NA,NA,NA,NA,NA,"",14.5833333333333,NA,11.7380025940337
"110",110,"BY","BYP","Brickyard Park",2,3,14,2019,"3/14/2019","Winter 2019","19-Mar",3,34,36,31,5,12.9,1,10.525,0,NA,2.516,0,NA,0,60,NA,NA,NA,NA,NA,"Fucus also appear to be less crispy than the ones at HS earlier on the same day",0,NA,0
